ts_code,trade_date,code,name,open,high,low,close,pre_close,pre_close_real,pre_close_qfq,change,pct_chg,pct_chg_exact,amplitude,vol,amount,adj_factor,sector,b,st,new,first_day,resume,up_down,limit_up,limit_up_price,limit_down,limit_down_price,limit_up_used,limit_up_ctn,limit_up_count,up_ctn,up_count,up_true_count,cb_code,cb_name,vol_pct,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,area,industry,fullname,enname,market,exchange,curr_type,list_status,list_date,delist_date,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,ma_2,pct_chg_2,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10,ma_20,pct_chg_20,ma_30,pct_chg_30,ma_up,ma_up_count
000001.SZ,20191122,000001,平安银行,15.89,15.92,15.55,15.59,15.86,15.86,15.86,-0.27,-1.7024,-1.7,2.33,773473.54,1216064.537,109.169,sz,False,False,False,False,False,-1,False,17.45,False,14.27,False,False,0,False,0,1,127010,平银转债,0.12,0.3986,0.8993,0.92,12.1903,10.8115,1.1284,2.5921,2.2746,1940591.8198,1940575.268,860111.1956,30253826.4707,30253568.4281,深圳,银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",主板,SZSE,CNY,L,19910403,,2135,15.600,680,15.610,3234,15.620,1120,15.630,827,15.640,3451,15.590,515,15.580,1896,15.570,2561,15.560,7528,15.550,15.73,-1.64,15.77,-5.0,16.03,-4.59,16.18,-6.37,16.47,-7.64,16.58,-7.26,False,0
000002.SZ,20191122,000002,万科A,26.78,27.1,26.69,27.01,26.75,26.75,26.75,0.26,0.972,0.97,1.53,669911.33,1804428.855,148.412,sz,False,False,False,False,False,1,False,29.43,False,24.08,False,False,0,True,2,1,,,73.7,0.6896,1.181,1.41,9.039,8.0274,1.825,1.0255,0.8834,1130214.3001,971517.0043,567261.7343,30527088.2457,26240674.2861,深圳,全国地产,万科企业股份有限公司,"China Vanke Co.,Ltd.",主板,SZSE,CNY,L,19910129,,283,27.020,754,27.030,841,27.040,794,27.050,836,27.060,1260,27.010,4371,27.000,583,26.990,2001,26.980,424,26.970,26.88,1.35,26.8,1.09,26.71,1.96,26.53,1.01,26.63,0.15,26.77,0.75,False,0
000004.SZ,20191122,000004,国农科技,19.01,19.05,18.67,18.8,19.05,19.05,19.05,-0.25,-1.3123,-1.31,1.99,5955.72,11231.7,4.064,sz,False,False,False,False,False,-1,False,20.96,False,17.15,False,False,0,False,0,0,,,-7.03,0.721,1.1168,0.79,,,15.8998,4.3033,7.2134,8397.6684,8260.4584,5333.0136,157876.1659,155296.6179,深圳,生物制药,深圳中国农大科技股份有限公司,"Shenzhen Cau Technology Co.,Ltd.",主板,SZSE,CNY,L,19910114,,18,18.800,3,18.840,20,18.860,2,18.870,61,18.880,5,18.790,50,18.780,8,18.770,58,18.760,5,18.750,18.93,-0.27,18.9,-1.31,18.82,1.95,18.75,-5.62,18.85,1.08,18.88,-0.74,False,0
000005.SZ,20191122,000005,世纪星源,2.96,2.99,2.92,2.93,2.95,2.95,2.95,-0.02,-0.678,-0.68,2.37,41556.52,12268.356,9.268,sz,False,False,False,False,False,-1,False,3.25,False,2.66,False,False,0,False,0,1,,,54.88,0.3928,0.5033,0.95,20.8422,16.601,2.0183,6.3793,4.6108,105853.6842,105794.6242,82576.0487,310151.2947,309978.2489,深圳,环境保护,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,主板,SZSE,CNY,L,19901210,,437,2.930,231,2.940,646,2.950,840,2.960,3160,2.970,2680,2.920,1039,2.910,2029,2.900,181,2.890,511,2.880,2.94,-0.68,2.94,-1.35,2.94,1.74,2.94,-3.93,3.01,-8.15,3.09,-9.57,False,0
000006.SZ,20191122,000006,深振业A,5.11,5.18,5.07,5.12,5.09,5.09,5.09,0.03,0.5894,0.59,2.16,48495.51,24845.083,35.426,sz,False,False,False,False,False,1,False,5.6,False,4.58,False,False,0,False,1,1,,,55.69,0.3597,0.5624,1.22,7.9062,8.4002,1.0823,2.7518,2.3988,134999.5046,134830.7972,86230.9824,691197.4636,690333.6817,深圳,区域地产,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co.,Ltd.",主板,SZSE,CNY,L,19920427,,2274,5.120,1388,5.130,252,5.140,238,5.150,739,5.160,1,5.110,10,5.100,124,5.090,470,5.080,805,5.070,5.11,0.0,5.11,-0.78,5.11,1.19,5.11,-3.03,5.18,0.0,5.16,-0.58,False,0
000007.SZ,20191122,000007,全新好,10.27,10.66,10.16,10.36,10.38,10.38,10.38,-0.02,-0.1927,-0.19,4.82,121794.99,126753.121,8.284,sz,False,False,False,False,False,-1,False,11.42,False,9.34,False,False,0,False,0,0,,,-48.38,3.9422,5.923,0.57,,,19.7859,84.5635,86.9969,34644.8044,30894.8044,20562.9467,358920.1736,320070.1736,深圳,酒店餐饮,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co.,Ltd",主板,SZSE,CNY,L,19920413,,555,10.360,120,10.370,210,10.380,140,10.390,260,10.400,6,10.350,14,10.340,16,10.330,5,10.310,19,10.300,10.37,-3.72,10.5,-6.5,10.75,-5.3,10.38,15.75,9.69,14.48,9.55,7.92,True,7
000008.SZ,20191122,000008,神州高铁,3.41,3.46,3.4,3.42,3.39,3.39,3.39,0.03,0.885,0.88,1.77,186423.54,64040.562,22.333,sz,False,False,False,False,False,1,False,3.73,False,3.05,False,False,0,False,1,1,,,107.62,0.7187,1.1099,1.4,29.2579,27.1786,1.3198,3.7079,3.3541,278079.5346,259377.0878,167968.2165,951032.0083,887069.6403,北京,运输设备,神州高铁技术股份有限公司,"China High Speed Railway Technology Co., Ltd.",主板,SZSE,CNY,L,19920507,,3433,3.430,5513,3.440,9223,3.450,27940,3.460,6277,3.470,117,3.420,2653,3.410,7921,3.400,2576,3.390,1865,3.380,3.41,0.0,3.41,-0.29,3.4,3.01,3.37,-0.29,3.42,-3.93,3.47,-2.56,False,0
000009.SZ,20191122,000009,中国宝安,4.49,4.57,4.46,4.48,4.48,4.48,4.48,0.0,0.0,0.0,2.46,148529.84,66952.373,8.859,sz,False,False,False,False,False,0,False,4.93,False,4.03,False,False,0,False,0,1,,,81.38,0.5839,0.7097,1.52,54.0502,36.5823,2.1442,0.9863,0.836,257921.3965,254383.6879,209287.5349,1155487.8563,1139638.9218,深圳,综合类,中国宝安集团股份有限公司,"China Baoan Group Co.,Ltd.",主板,SZSE,CNY,L,19910625,,1102,4.490,3378,4.500,1015,4.510,1020,4.520,1027,4.530,1075,4.480,2226,4.470,3935,4.460,3087,4.450,1142,4.440,4.48,-0.44,4.49,-1.32,4.5,0.67,4.51,-6.67,4.59,-6.67,4.63,-3.66,False,0
000010.SZ,20191122,000010,*ST美丽,3.42,3.42,3.38,3.39,3.4,3.4,3.4,-0.01,-0.2941,-0.29,1.18,7420.0,2521.209,10.775,sz,False,True,False,False,False,-1,False,3.74,False,3.06,False,False,0,False,0,2,,,48.1,0.1421,0.1517,1.13,,,6.2978,8.0464,2.2386,81985.4713,52209.3498,48902.0798,277930.7477,176989.6958,深圳,建筑工程,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd.",主板,SZSE,CNY,L,19951027,,641,3.400,612,3.410,5789,3.420,412,3.430,255,3.440,489,3.390,570,3.380,762,3.370,952,3.360,390,3.350,3.4,0.0,3.39,-0.88,3.4,-0.88,3.41,-3.14,3.46,-4.51,3.47,0.0,False,0
000011.SZ,20191122,000011,深物业A,9.1,9.14,8.94,9.02,9.12,9.12,9.12,-0.1,-1.0965,-1.1,2.19,14661.97,13262.846,3.604,sz,False,False,False,False,False,-1,False,10.03,False,8.21,False,False,0,False,0,0,,,24.33,0.2785,1.0038,1.15,9.0695,9.7458,1.6485,1.9287,2.0754,59597.9092,52644.2569,14606.3672,537573.141,474851.1972,深圳,区域地产,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,主板,SZSE,CNY,L,19920330,,239,9.030,210,9.040,153,9.050,75,9.060,20,9.070,116,9.020,57,9.010,195,9.000,16,8.990,28,8.980,9.07,-1.53,9.1,-1.42,9.1,1.12,9.04,-1.64,9.15,-5.75,9.34,-8.15,False,0
