ts_code,trade_date,code,name,open,high,low,close,pre_close,pre_close_real,pre_close_qfq,change,pct_chg,pct_chg_exact,amplitude,vol,amount,adj_factor,sector,b,st,new,first_day,resume,up_down,limit_up,limit_up_price,limit_down,limit_down_price,limit_up_used,limit_up_ctn,limit_up_count,up_ctn,up_count,up_true_count,cb_code,cb_name,vol_pct,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,area,industry,fullname,enname,market,exchange,curr_type,list_status,list_date,delist_date,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,ma_2,pct_chg_2,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10,ma_20,pct_chg_20,ma_30,pct_chg_30,ma_up,ma_up_count
000001.SZ,20191125,000001,平安银行,15.64,15.84,15.54,15.8,15.59,15.59,15.59,0.21,1.347,1.35,1.92,783257.94,1233388.886,109.169,SZ,False,False,False,False,False,1,False,17.15,False,14.03,False,False,0,False,1,2,127010,平银转债,1.26,0.4036,0.9106,0.89,12.3545,10.9571,1.1436,2.627,2.3052,1940591.8198,1940575.268,860111.1956,30661350.7528,30661089.2344,深圳,银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",主板,SZSE,CNY,L,19910403,,1883,15.800,1995,15.810,2983,15.820,2404,15.830,3856,15.840,2753,15.790,1478,15.780,1609,15.770,390,15.760,1320,15.750,15.7,-0.38,15.75,-0.32,15.9,-3.95,16.13,-2.95,16.43,-5.16,16.53,-8.25,False,0
000002.SZ,20191125,000002,万科A,27.3,28.65,27.3,28.65,27.01,27.01,27.01,1.64,6.0718,6.07,5.0,1368032.57,3856258.081,148.412,SZ,False,False,False,False,False,1,False,29.71,False,24.31,False,False,0,True,3,2,,,104.21,1.4081,2.3619,2.65,9.5878,8.5148,1.9358,1.0878,0.937,1130214.3001,971517.0043,579196.3798,32380639.6979,27833962.1732,深圳,全国地产,万科企业股份有限公司,"China Vanke Co.,Ltd.",主板,SZSE,CNY,L,19910129,,807,28.660,482,28.670,1859,28.680,1059,28.690,2408,28.700,1790,28.650,187,28.640,130,28.630,2046,28.620,746,28.610,27.83,7.1,27.47,7.5,27.16,8.44,26.75,8.61,26.72,6.58,26.83,5.64,False,0
000004.SZ,20191125,000004,国农科技,18.78,18.9,18.45,18.67,18.8,18.8,18.8,-0.13,-0.6915,-0.69,2.39,5025.3,9348.982,4.064,SZ,False,False,False,False,False,-1,False,20.68,False,16.92,False,False,0,False,0,0,,,-15.62,0.6084,0.9423,0.7,,,15.7898,4.2736,7.1635,8397.6684,8260.4584,5333.0136,156784.469,154222.7583,深圳,生物制药,深圳中国农大科技股份有限公司,"Shenzhen Cau Technology Co.,Ltd.",主板,SZSE,CNY,L,19910114,,19,18.670,25,18.690,9,18.700,5,18.750,41,18.760,1,18.650,7,18.640,28,18.630,38,18.590,27,18.580,18.74,-1.99,18.84,-0.95,18.88,1.74,18.73,-0.85,18.87,1.25,18.87,-1.06,False,0
000005.SZ,20191125,000005,世纪星源,2.94,2.95,2.91,2.95,2.93,2.93,2.93,0.02,0.6826,0.68,1.37,44876.05,13173.249,9.268,SZ,False,False,False,False,False,1,False,3.22,False,2.64,False,False,0,False,1,2,,,7.99,0.4242,0.5435,1.04,20.9845,16.7143,2.032,6.4229,4.6423,105853.6842,105794.6242,82576.0487,312268.3684,312094.1414,深圳,环境保护,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,主板,SZSE,CNY,L,19901210,,2404,2.960,2633,2.970,1499,2.980,1618,2.990,2117,3.000,170,2.950,706,2.940,1381,2.930,1566,2.920,896,2.910,2.94,0.0,2.94,0.0,2.95,1.37,2.94,-0.34,3.0,-9.79,3.08,-10.06,False,0
000006.SZ,20191125,000006,深振业A,5.12,5.22,5.08,5.2,5.12,5.12,5.12,0.08,1.5625,1.56,2.73,63296.29,32707.286,35.426,SZ,False,False,False,False,False,1,False,5.63,False,4.61,False,False,0,True,2,0,,,30.52,0.4694,0.734,1.61,8.0298,8.5314,1.0992,2.7947,2.4363,134999.5046,134830.7972,86230.9824,701997.4239,701120.1454,深圳,区域地产,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co.,Ltd.",主板,SZSE,CNY,L,19920427,,6414,5.200,2946,5.210,1879,5.220,1835,5.230,744,5.240,94,5.190,221,5.180,1276,5.170,251,5.160,593,5.150,5.16,2.16,5.14,1.56,5.14,2.36,5.11,1.17,5.18,0.19,5.16,-0.38,False,0
000007.SZ,20191125,000007,全新好,10.5,10.51,9.32,9.96,10.36,10.36,10.36,-0.4,-3.861,-3.86,11.49,188688.47,181484.599,8.284,SZ,False,False,False,False,False,-1,False,11.4,False,9.32,False,False,0,False,0,1,,,54.92,6.1074,9.1761,0.93,,,19.0219,81.2985,83.638,34644.8044,30894.8044,20562.9467,345062.2518,307712.2518,深圳,酒店餐饮,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co.,Ltd",主板,SZSE,CNY,L,19920413,,21,9.970,1,9.980,29,9.990,210,10.000,66,10.010,101,9.960,33,9.950,418,9.940,1,9.930,10,9.900,10.16,-4.05,10.23,-7.43,10.51,-10.91,10.49,12.04,9.74,9.69,9.57,4.84,True,8
000008.SZ,20191125,000008,神州高铁,3.44,3.53,3.44,3.5,3.42,3.42,3.42,0.08,2.3392,2.34,2.63,237752.63,82806.798,22.333,SZ,False,False,False,False,False,1,False,3.76,False,3.08,False,False,0,True,2,2,,,27.53,0.9166,1.4155,1.62,29.9423,27.8144,1.3506,3.7946,3.4326,278079.5346,259377.0878,167968.2165,973278.3711,907819.8073,北京,运输设备,神州高铁技术股份有限公司,"China High Speed Railway Technology Co., Ltd.",主板,SZSE,CNY,L,19920507,,5246,3.500,6510,3.510,8704,3.520,12260,3.530,2790,3.540,1723,3.490,3899,3.480,3644,3.470,3528,3.460,4516,3.450,3.46,3.24,3.44,2.34,3.43,5.11,3.39,3.86,3.42,-2.23,3.46,-2.23,False,0
000009.SZ,20191125,000009,中国宝安,4.49,4.51,4.42,4.48,4.48,4.48,4.48,0.0,0.0,0.0,2.01,105000.41,46922.84,8.859,SZ,False,False,False,False,False,0,False,4.93,False,4.03,False,False,0,False,0,2,,,-29.31,0.4128,0.5017,0.98,54.0502,36.5823,2.1442,0.9863,0.836,257921.3965,254383.6879,209287.5349,1155487.8563,1139638.9218,深圳,综合类,中国宝安集团股份有限公司,"China Baoan Group Co.,Ltd.",主板,SZSE,CNY,L,19910625,,412,4.480,2370,4.490,2893,4.500,4422,4.510,2412,4.520,71,4.470,2775,4.460,3671,4.450,1100,4.440,1510,4.430,4.48,0.0,4.48,-0.44,4.5,-0.44,4.49,-2.61,4.57,-6.47,4.62,-5.68,False,0
000010.SZ,20191125,000010,*ST美丽,3.39,3.41,3.38,3.41,3.39,3.39,3.39,0.02,0.59,0.59,0.88,11901.0,4044.938,10.775,SZ,False,True,False,False,False,1,False,3.73,False,3.05,False,False,0,False,1,0,,,60.39,0.2279,0.2434,1.64,,,6.3349,8.0939,2.2518,81985.4713,52209.3498,48902.0798,279570.4571,178033.8828,深圳,建筑工程,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd.",主板,SZSE,CNY,L,19951027,,5466,3.420,826,3.430,601,3.440,318,3.450,101,3.460,37,3.410,132,3.400,1022,3.390,944,3.380,634,3.370,3.4,0.29,3.4,0.59,3.4,0.89,3.4,-1.73,3.45,-4.21,3.47,0.0,False,0
000011.SZ,20191125,000011,深物业A,8.99,9.16,8.96,9.07,9.02,9.02,9.02,0.05,0.5543,0.55,2.22,17573.38,15942.393,3.604,SZ,False,False,False,False,False,1,False,9.92,False,8.12,False,False,0,False,1,0,,,19.86,0.3338,1.2031,1.28,9.1198,9.7998,1.6576,1.9394,2.0869,59597.9092,52644.2569,14606.3672,540553.0364,477483.4101,深圳,区域地产,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,主板,SZSE,CNY,L,19920330,,11,9.080,52,9.090,241,9.100,62,9.110,235,9.120,55,9.070,483,9.060,60,9.050,102,9.040,226,9.030,9.05,-0.55,9.07,-0.98,9.1,0.0,9.05,1.11,9.13,-5.91,9.32,-8.75,False,0
