,time,price,change,vol,amount,type
0,09:25:04,4.5,0.02,238,107100,卖盘
1,09:30:00,4.5,0.0,109,49050,买盘
2,09:30:04,4.5,0.0,259,116488,买盘
3,09:30:06,4.49,-0.01,342,153584,卖盘
4,09:30:09,4.49,0.0,19,8531,买盘
5,09:30:12,4.51,0.02,71,31968,买盘
6,09:30:15,4.5,-0.01,59,26552,中性盘
7,09:30:18,4.51,0.01,39,17578,买盘
8,09:30:21,4.5,-0.01,5,2250,卖盘
9,09:30:24,4.5,0.0,10,4500,卖盘
10,09:30:27,4.5,0.0,15,6754,卖盘
11,09:30:30,4.5,0.0,18,8102,卖盘
12,09:30:33,4.5,0.0,23,10350,卖盘
13,09:30:36,4.5,0.0,22,9907,卖盘
14,09:30:39,4.51,0.01,60,27026,买盘
15,09:30:42,4.5,-0.01,34,15300,卖盘
16,09:30:45,4.5,0.0,11,4950,卖盘
17,09:30:48,4.5,0.0,1,450,卖盘
18,09:30:51,4.5,0.0,1,450,卖盘
19,09:30:54,4.5,0.0,2,900,卖盘
20,09:30:57,4.51,0.01,12,5402,买盘
21,09:31:00,4.51,0.0,13,5863,买盘
22,09:31:09,4.5,-0.01,27,12176,卖盘
23,09:31:12,4.51,0.01,31,13980,买盘
24,09:31:15,4.51,0.0,22,9922,买盘
25,09:31:19,4.51,0.0,13,5863,买盘
26,09:31:21,4.51,0.0,80,36080,买盘
27,09:31:24,4.51,0.0,134,60434,买盘
28,09:31:27,4.51,0.0,174,78474,买盘
29,09:31:30,4.51,0.0,142,64042,买盘
30,09:31:33,4.52,0.01,273,123137,买盘
31,09:31:36,4.52,0.0,30,13560,买盘
32,09:31:39,4.52,0.0,38,17176,买盘
33,09:31:42,4.52,0.0,25,11300,买盘
34,09:31:45,4.52,0.0,14,6328,买盘
35,09:31:48,4.52,0.0,14,6328,买盘
36,09:31:51,4.52,0.0,9,4068,买盘
37,09:31:54,4.52,0.0,1,452,买盘
38,09:31:57,4.52,0.0,16,7232,买盘
39,09:32:15,4.51,-0.01,610,275115,卖盘
40,09:32:18,4.51,0.0,64,28864,买盘
41,09:32:21,4.5,-0.01,20,9009,卖盘
42,09:32:24,4.51,0.01,21,9471,买盘
43,09:32:27,4.5,-0.01,41,18473,卖盘
44,09:32:30,4.51,0.01,5,2255,买盘
45,09:32:33,4.5,-0.01,121,54453,卖盘
46,09:32:36,4.51,0.01,2,902,买盘
47,09:32:39,4.51,0.0,13,5863,买盘
48,09:32:45,4.51,0.0,42,18942,买盘
49,09:32:48,4.51,0.0,20,9020,买盘
50,09:32:51,4.51,0.0,34,15334,买盘
51,09:32:54,4.51,0.0,25,11275,买盘
52,09:32:57,4.51,0.0,2,902,买盘
53,09:33:04,4.51,0.0,6,2706,买盘
