code,name,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,area,industry,fullname,enname,market,exchange,curr_type,list_status,list_date,delist_date
000001,平安银行,12.2137,10.8323,1.1305,2.5971,2.2789,1940591.8198,1940575.268,860111.1956,30312044.2253,30311785.6862,深圳,银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",主板,SZSE,CNY,L,19910403,
000002,万科A,9.4874,8.4256,1.9155,1.0764,0.9272,1130214.3001,971517.0043,579196.3798,32041575.4078,27542507.0719,深圳,全国地产,万科企业股份有限公司,"China Vanke Co.,Ltd.",主板,SZSE,CNY,L,19910129,
000004,国农科技,,,15.7814,4.2713,7.1597,8397.6684,8260.4584,5333.0136,156700.4923,154140.1537,深圳,生物制药,深圳中国农大科技股份有限公司,"Shenzhen Cau Technology Co.,Ltd.",主板,SZSE,CNY,L,19910114,
000005,世纪星源,21.1268,16.8276,2.0458,6.4664,4.6738,105853.6842,105794.6242,82576.0487,314385.4421,314210.0339,深圳,环境保护,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,主板,SZSE,CNY,L,19901210,
000006,深振业A,7.9371,8.433,1.0865,2.7625,2.4082,134999.5046,134830.7972,86230.9824,693897.4536,693030.2976,深圳,区域地产,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co.,Ltd.",主板,SZSE,CNY,L,19920427,
000007,全新好,,,19.5376,83.5024,85.9053,34644.8044,30894.8044,20562.9467,354416.349,316053.849,深圳,酒店餐饮,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co.,Ltd",主板,SZSE,CNY,L,19920413,
000008,神州高铁,30.0278,27.8938,1.3545,3.8054,3.4424,278079.5346,259377.0878,167968.2165,976059.1664,910413.5782,北京,运输设备,神州高铁技术股份有限公司,"China High Speed Railway Technology Co., Ltd.",主板,SZSE,CNY,L,19920507,
000009,中国宝安,53.9295,36.5007,2.1394,0.9841,0.8341,257921.3965,254383.6879,209287.5349,1152908.6424,1137095.0849,深圳,综合类,中国宝安集团股份有限公司,"China Baoan Group Co.,Ltd.",主板,SZSE,CNY,L,19910625,
000011,深物业A,9.0193,9.6918,1.6393,1.918,2.0639,59597.9092,52644.2569,14606.3672,534593.2455,472218.9844,深圳,区域地产,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,主板,SZSE,CNY,L,19920330,
000012,南玻A,29.7805,25.5406,1.413,1.2714,1.3329,310819.6163,195755.0017,187091.657,1348957.1347,849576.7074,深圳,玻璃,中国南玻集团股份有限公司,"CSG Holding Co.,Ltd.",主板,SZSE,CNY,L,19920228,
000014,沙河股份,12.2128,13.4562,2.0727,4.9816,6.7875,20170.5187,20170.5187,13309.1796,178307.3853,178307.3853,深圳,全国地产,沙河实业股份有限公司,"Shahe Industrial Co.,Ltd.",主板,SZSE,CNY,L,19920602,
000016,深康佳A,23.8283,22.6887,1.1758,0.2125,0.1688,240794.5408,159657.43,107282.7368,980033.7811,649805.7401,深圳,家用电器,康佳集团股份有限公司,"Konka Group Co.,Ltd",主板,SZSE,CNY,L,19920327,
000017,深中华A,,,164.1063,19.9099,29.2905,55134.7947,30298.1008,23947.2261,238733.6611,131190.7765,深圳,文教休闲,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,主板,SZSE,CNY,L,19920331,
000018,神城A退,,,,0.4688,2.312,169824.5011,99588.9682,70728.9664,113782.4157,66724.6087,深圳,装修装饰,神州长城股份有限公司,"Sino Great Wall Co., Ltd.",主板,SZSE,CNY,L,19920616,
000019,深粮控股,21.8298,10.0807,1.5344,0.6256,0.3735,115253.5254,41592.0398,27042.0418,673080.5883,242897.5124,深圳,其他商业,深圳市深粮控股股份有限公司,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",主板,SZSE,CNY,L,19921012,
000020,深华发A,877.407,468.2495,8.8319,4.5382,4.1533,28316.1227,18116.5391,6187.5497,289107.6128,184969.8642,深圳,元器件,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co.,Ltd.",主板,SZSE,CNY,L,19920428,
000021,深科技,26.6178,39.0129,2.1836,0.8785,1.0424,147125.9363,146932.7064,72254.9832,1410937.7291,1409084.6544,深圳,IT设备,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",主板,SZSE,CNY,L,19940202,
000023,深天地A,66.2665,24.9603,3.653,1.0824,0.926,13875.624,13875.624,8848.3032,174416.5937,174416.5937,深圳,其他建材,深圳市天地(集团)股份有限公司,"Shenzhen Universe (Group) Co.,Ltd",主板,SZSE,CNY,L,19930429,
000025,特力A,99.6268,75.2224,7.772,20.9057,15.7656,43105.832,39277.832,9977.9339,865996.1649,789091.6449,深圳,汽车服务,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd",主板,SZSE,CNY,L,19930621,
000026,飞亚达A,19.9274,18.3255,1.3935,1.0773,1.0246,44296.8881,35671.6368,19373.9041,366335.2646,295004.4363,深圳,其他商业,飞亚达(集团)股份有限公司,Fiyta Holdings Ltd.,主板,SZSE,CNY,L,19930603,
000027,深圳能源,34.0957,13.0854,0.9828,1.271,1.0738,396449.1597,396449.1597,103890.679,2354908.0086,2354908.0086,深圳,火力发电,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",主板,SZSE,CNY,L,19930903,
000028,国药一致,15.2617,14.8308,1.484,0.4285,0.3679,42812.6983,30774.4355,12280.2064,1847796.0586,1328224.6362,深圳,医药商业,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,主板,SZSE,CNY,L,19930809,
000030,富奥股份,9.3029,9.7914,1.2823,1.0445,0.9094,181055.2111,175988.087,55216.3837,820180.1063,797226.0341,吉林,汽车配件,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,主板,SZSE,CNY,L,19930929,
000031,大悦城,19.8729,9.4645,1.5999,1.9547,0.9656,392587.0338,181372.2958,95636.8818,2759886.8476,1275047.2395,深圳,全国地产,大悦城控股集团股份有限公司,"Grandjoy Holdings Group Co.,Ltd.",主板,SZSE,CNY,L,19931008,
000032,深桑达A,50.003,48.2308,3.7674,3.3431,3.7025,41321.9661,41128.366,16613.138,535119.461,532612.3397,深圳,元器件,深圳市桑达实业股份有限公司,"Shenzhen Sed Industry Co.,Ltd.",主板,SZSE,CNY,L,19931028,
000034,神州数码,21.4318,16.1929,2.618,0.1342,0.12,65407.0434,48547.5941,35044.4994,1098184.2587,815114.1049,深圳,综合类,神州数码集团股份有限公司,"Digital China Group Co.,Ltd.",主板,SZSE,CNY,L,19940509,
000035,中国天楹,76.3571,37.5255,1.6135,8.9506,1.2203,252377.7297,128108.9502,77332.9918,1653074.1295,839113.6238,江苏,环境保护,中国天楹股份有限公司,China Tianying Inc.,主板,SZSE,CNY,L,19940408,
000036,华联控股,6.0053,6.9339,1.2275,1.7445,2.0219,148393.4025,147502.3304,98215.5544,581702.1378,578209.1352,深圳,全国地产,华联控股股份有限公司,China Union Holdings Ltd.,主板,SZSE,CNY,L,19940617,
000037,深南电A,372.2309,,3.608,3.8022,6.6226,60276.2596,33889.4011,20012.1057,716684.7266,402944.9791,深圳,火力发电,深圳南山热电股份有限公司,"Shenzhen Nanshan Power Co.,Ltd.",主板,SZSE,CNY,L,19940701,
000038,深大通,,,2.2223,2.4518,3.2397,52277.7419,23157.1139,15543.9194,629946.7899,279043.2225,深圳,广告包装,深圳大通实业股份有限公司,"Shenzhen Capstone Industrial Co., Ltd.",主板,SZSE,CNY,L,19940808,
000039,中集集团,9.9637,19.816,0.9893,0.3602,0.3817,358314.8682,152234.172,100373.5508,3368159.7611,1431001.2168,深圳,轻工机械,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd",主板,SZSE,CNY,L,19940408,
000040,东旭蓝天,5.494,,0.4247,0.7078,0.6285,148687.387,106034.067,90359.3956,614078.9083,437920.6967,深圳,新型电力,东旭蓝天新能源股份有限公司,"Tunghsu Azure Renewable Energy Co., Ltd.",主板,SZSE,CNY,L,19940808,
000042,中洲控股,15.077,10.946,0.8851,0.848,1.4441,66483.1139,66220.2464,22301.9487,673473.9438,670811.096,深圳,全国地产,深圳市中洲投资控股股份有限公司,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",主板,SZSE,CNY,L,19940921,
000043,中航善达,15.5721,81.1993,2.7924,2.0042,2.032,66696.1416,66679.3416,32476.4536,1333922.832,1333586.832,深圳,房产服务,中航善达股份有限公司,AVIC SUNDA HOLDING COMPANY LIMITED,主板,SZSE,CNY,L,19940928,
000045,深纺织A,,,1.4042,2.8582,1.975,50933.8429,45702.1849,20682.3381,363667.6383,326313.6002,深圳,元器件,深圳市纺织(集团)股份有限公司,"Shenzhen Textile (Holdings) Co.,Ltd.",主板,SZSE,CNY,L,19940815,
000046,泛海控股,23.8363,13.8035,0.969,4.4311,5.2497,519620.0656,517496.4633,149229.1725,2218777.6801,2209709.8983,北京,全国地产,泛海控股股份有限公司,"Oceanwide Holdings Co., Ltd.",主板,SZSE,CNY,L,19940912,
000048,康达尔,20.088,13.5626,6.5885,2.5565,2.4954,40249.1731,40242.8671,11465.0118,878639.4488,878501.7888,深圳,饲料,深圳市康达尔(集团)股份有限公司,"Shenzhen Kondarl (Group) Co.,Ltd.",主板,SZSE,CNY,L,19941101,
