code,name,enname,open,high,low,close,pre_close,change,pct_chg_exact,amplitude,vol,amount,sector,new,limit_up,limit_down,limit_up_used,limit_up_ctn,limit_up_count,up_ctn,up_count,up_true_count,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10
000001,平安银行,"Ping An Bank Co., Ltd.",15.64,15.84,15.54,15.8,15.59,0.21,1.35,1.92,783257.94,1233388.886,SZ,False,False,False,False,False,0,False,1,2,0.4036,0.89,15.75,-0.32,15.9,-3.95,16.13,-2.95
000002,万科A,"China Vanke Co.,Ltd.",27.3,28.65,27.3,28.65,27.01,1.64,6.07,5.0,1368032.57,3856258.081,SZ,False,False,False,False,False,0,True,3,2,1.4081,2.65,27.47,7.5,27.16,8.44,26.75,8.61
000004,国农科技,"Shenzhen Cau Technology Co.,Ltd.",18.78,18.9,18.45,18.67,18.8,-0.13,-0.69,2.39,5025.3,9348.982,SZ,False,False,False,False,False,0,False,0,0,0.6084,0.7,18.84,-0.95,18.88,1.74,18.73,-0.85
000005,世纪星源,Shenzhen Fountain Corporation,2.94,2.95,2.91,2.95,2.93,0.02,0.68,1.37,44876.05,13173.249,SZ,False,False,False,False,False,0,False,1,2,0.4242,1.04,2.94,0.0,2.95,1.37,2.94,-0.34
000006,深振业A,"Shenzhen Zhenye(Group) Co.,Ltd.",5.12,5.22,5.08,5.2,5.12,0.08,1.56,2.73,63296.29,32707.286,SZ,False,False,False,False,False,0,True,2,0,0.4694,1.61,5.14,1.56,5.14,2.36,5.11,1.17
000007,全新好,"Shenzhen Quanxinhao Co.,Ltd",10.5,10.51,9.32,9.96,10.36,-0.4,-3.86,11.49,188688.47,181484.599,SZ,False,False,False,False,False,0,False,0,1,6.1074,0.93,10.23,-7.43,10.51,-10.91,10.49,12.04
000008,神州高铁,"China High Speed Railway Technology Co., Ltd.",3.44,3.53,3.44,3.5,3.42,0.08,2.34,2.63,237752.63,82806.798,SZ,False,False,False,False,False,0,True,2,2,0.9166,1.62,3.44,2.34,3.43,5.11,3.39,3.86
000009,中国宝安,"China Baoan Group Co.,Ltd.",4.49,4.51,4.42,4.48,4.48,0.0,0.0,2.01,105000.41,46922.84,SZ,False,False,False,False,False,0,False,0,2,0.4128,0.98,4.48,-0.44,4.5,-0.44,4.49,-2.61
000011,深物业A,Shenzhen Properties & Resources Development (Group) Ltd.,8.99,9.16,8.96,9.07,9.02,0.05,0.55,2.22,17573.38,15942.393,SZ,False,False,False,False,False,0,False,1,0,0.3338,1.28,9.07,-0.98,9.1,0.0,9.05,1.11
000012,南玻A,"CSG Holding Co.,Ltd.",4.29,4.37,4.27,4.37,4.29,0.08,1.86,2.33,75071.5,32510.68,SZ,False,False,False,False,False,0,False,1,0,0.3835,1.13,4.33,-0.46,4.36,0.92,4.35,1.39
