code,name,enname,pct_chg_exact,open,high,low,close,pre_close,change,amplitude,vol,amount,sector,limit_up_used,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10
000018,神城A退,"Sino Great Wall Co., Ltd.",-9.76,0.74,0.74,0.74,0.74,0.82,-0.08,0.0,48.0,3.552,SZ,False,0.0005,0.0,0.81,-17.78,0.85,-23.71,0.88,-16.85
000607,华媒控股,"Zhejiang Huamei Holding Co., Ltd.",-9.9,5.01,5.09,4.64,4.64,5.15,-0.51,8.74,303171.74,144653.353,SZ,False,3.4263,1.23,4.96,-14.23,5.14,-8.84,5.2,-10.42
002063,远光软件,YGSOFT Inc.,-10.0,11.74,11.79,10.53,10.53,11.7,-1.17,10.77,696415.99,761808.209,SZ,False,9.0647,1.13,11.42,-6.48,11.42,-9.22,11.29,-0.85
002199,东晶电子,"Zhejiang East Crystal Electronic Co., Ltd.",-9.99,11.53,11.53,11.53,11.53,12.81,-1.28,0.0,14221.0,16396.813,SZ,False,0.5842,0.1,12.14,-6.18,12.28,-4.79,11.99,0.96
002235,安妮股份,"Xiamen Anne Co., Ltd.",-10.0,9.8,9.8,9.45,9.45,10.5,-1.05,3.33,191512.0,183593.462,SZ,False,3.6965,0.3,10.17,-8.52,10.25,-7.44,10.75,-18.53
002247,聚力文化,"Zhejiang Juli Culture Development Co.,Ltd.",-10.06,3.46,3.51,3.22,3.22,3.58,-0.36,8.1,425258.89,139370.502,SZ,False,7.8098,0.5,3.45,-0.31,3.3,20.6,2.94,30.89
002417,深南股份,"SUNA Co.,Ltd",-9.95,8.57,8.57,7.69,7.69,8.54,-0.85,10.3,263279.1,210698.28,SZ,False,11.4741,0.74,8.35,-16.86,8.54,-8.99,8.32,1.59
002418,康盛股份,"Zhe Jiang Kangsheng Co.,Ltd",-9.86,3.46,3.68,3.29,3.29,3.65,-0.36,10.68,1170071.85,398304.625,SZ,False,11.6641,1.49,3.54,-1.5,3.4,13.06,3.17,26.05
002502,鼎龙文化,"Dinglong Culture Co.,Ltd.",-10.0,3.85,3.92,3.6,3.6,4.0,-0.4,8.0,820072.74,298743.744,SZ,False,11.7454,0.65,3.94,-14.49,3.97,3.45,3.46,39.53
002528,英飞拓,Shenzhen Infinova Limited,-9.93,5.81,5.82,5.35,5.35,5.94,-0.59,7.91,553560.14,301790.903,SZ,False,5.2936,0.99,5.68,-10.83,5.7,8.08,5.43,-6.47
002819,东方中科,"Beijing Oriental Jicheng  Co., Ltd.",-10.01,29.0,29.15,26.06,26.06,28.96,-2.9,10.67,71905.8,196153.144,SZ,False,5.168,0.61,28.2,-11.81,28.56,-10.63,28.61,5.72
