code,name,enname,pct_chg_exact,limit_up_count,up_count,up_true_count,limit_up_used,open,high,low,close,pre_close,change,amplitude,vol,amount,sector,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10
000002,万科A,"China Vanke Co.,Ltd.",6.07,0,3,2,False,27.3,28.65,27.3,28.65,27.01,1.64,5.0,1368032.57,3856258.081,SZ,1.4081,2.65,27.47,7.5,27.16,8.44,26.75,8.61
000006,深振业A,"Shenzhen Zhenye(Group) Co.,Ltd.",1.56,0,2,0,False,5.12,5.22,5.08,5.2,5.12,0.08,2.73,63296.29,32707.286,SZ,0.4694,1.61,5.14,1.56,5.14,2.36,5.11,1.17
000008,神州高铁,"China High Speed Railway Technology Co., Ltd.",2.34,0,2,2,False,3.44,3.53,3.44,3.5,3.42,0.08,2.63,237752.63,82806.798,SZ,0.9166,1.62,3.44,2.34,3.43,5.11,3.39,3.86
000019,深粮控股,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",0.68,0,2,3,False,5.85,5.88,5.77,5.88,5.84,0.04,1.88,23062.03,13465.05,SZ,0.5545,1.16,5.85,0.0,5.88,0.51,5.87,0.17
000030,富奥股份,FAWER Automotive Parts Limited Company,0.67,0,2,2,False,4.48,4.5,4.41,4.5,4.47,0.03,2.01,14045.5,6271.618,SZ,0.0798,0.77,4.48,0.0,4.5,-1.53,4.52,1.12
000031,大悦城,"Grandjoy Holdings Group Co.,Ltd.",0.14,0,2,0,False,7.12,7.37,7.11,7.16,7.15,0.01,3.64,181440.72,131421.842,SZ,1.0004,2.37,7.15,0.0,7.16,2.87,7.05,3.62
000036,华联控股,China Union Holdings Ltd.,3.42,0,2,2,False,3.81,3.96,3.78,3.93,3.8,0.13,4.74,92704.75,36115.737,SZ,0.6285,2.62,3.83,4.24,3.82,2.88,3.82,1.03
000042,中洲控股,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",3.73,0,2,4,False,10.0,10.33,9.93,10.3,9.93,0.37,4.03,32061.24,32611.81,SZ,0.4842,2.67,10.02,2.79,10.01,5.32,9.87,7.07
000060,中金岭南,Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,2.8,0,2,0,False,3.91,4.06,3.91,4.04,3.93,0.11,3.82,247943.62,99481.493,SZ,0.6949,2.63,3.96,3.32,3.94,3.86,3.91,2.8
000065,北方国际,NORINCO International Cooperation Ltd.,2.0,0,2,0,False,7.96,8.2,7.93,8.17,8.01,0.16,3.37,30529.53,24770.949,SZ,0.4854,1.87,8.04,2.77,8.03,3.68,8.0,1.11
000090,天健集团,"Shenzhen Tagen Group Co., Ltd.",0.79,0,3,0,False,5.09,5.15,5.06,5.13,5.09,0.04,1.77,58700.81,30007.611,SZ,0.3142,1.19,5.09,1.58,5.08,1.18,5.07,1.58
000096,广聚能源,"Shenzhen Guangju Energy Co.,Ltd.",2.33,0,3,0,False,9.8,10.38,9.51,10.1,9.87,0.23,8.81,23730.92,23818.974,SZ,0.4645,1.93,9.83,6.2,9.75,5.76,9.69,5.32
000151,中成股份,China National Complete Plant Import & Export Corporation Limited,0.93,0,3,2,False,9.72,9.83,9.66,9.79,9.7,0.09,1.75,24775.84,24202.994,SZ,0.9295,1.24,9.72,1.35,9.72,0.41,9.71,5.16
000159,国际实业,"Xinjiang International Industry Co.,Ltd",0.9,0,3,0,False,5.56,5.8,5.41,5.61,5.56,0.05,7.01,128074.16,71807.667,SZ,2.6644,1.54,5.57,2.75,5.55,4.28,5.51,-5.08
000301,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd.",0.6,0,3,3,False,5.0,5.01,4.96,5.01,4.98,0.03,1.0,35176.94,17543.71,SZ,0.2888,0.84,4.99,1.21,4.99,1.01,4.99,-0.2
000338,潍柴动力,"Weichai Power Co.,Ltd.",4.61,0,2,1,False,13.04,13.44,13.0,13.38,12.79,0.59,3.44,1053663.34,1399279.45,SZ,2.4821,2.06,12.97,4.69,12.95,2.37,12.82,5.44
000401,冀东水泥,"Tangshan Jidong Cement Co.,Ltd.",5.26,0,2,0,False,14.46,15.24,14.46,15.22,14.46,0.76,5.39,508651.08,764677.317,SZ,3.7756,2.09,14.68,4.68,14.67,7.18,14.39,11.83
