code,name,pct_vol(%),volume,pct_chg(%),pre_close_price,open_price,close_price,high,low
603976,正川股份,3713.18,132546.03,0.04,26.79,24.11,26.8,29.19,24.11
300345,红宇新材,3053.4,421578.2,-9.94,9.05,8.15,8.15,8.5,8.15
300341,麦克奥迪,1394.86,1062431.62,7.24,13.95,14.1,14.96,15.35,13.5
601599,鹿港文化,1079.94,976179.18,10.0,3.5,3.53,3.85,3.85,3.28
603829,洛凯股份,648.5,53191.2,6.04,9.93,9.93,10.53,10.56,9.91
300484,蓝海华腾,468.57,123710.44,1.43,9.82,10.0,9.96,10.35,9.9
600236,桂冠电力,457.68,231711.83,0.63,4.8,4.94,4.83,5.15,4.8
300591,万里马,418.1,115088.79,10.04,5.58,5.98,6.14,6.14,5.98
002026,山东威达,404.38,92043.55,9.98,4.81,4.9,5.29,5.29,4.9
600894,广日股份,383.67,215650.53,1.79,7.25,7.35,7.38,7.63,7.31
002235,安妮股份,377.4,914282.94,-8.36,9.45,8.51,8.66,9.14,8.51
300310,宜通世纪,350.96,523227.07,4.69,4.9,5.11,5.13,5.39,5.11
000632,三木集团,336.97,56269.27,2.12,6.13,6.08,6.26,6.27,6.07
600678,四川金顶,333.14,581502.69,10.08,5.06,5.56,5.57,5.57,5.23
300718,长盛轴承,326.6,56757.09,1.34,17.93,18.22,18.17,18.22,17.6
603085,天成自控,324.69,61481.94,9.99,7.41,7.4,8.15,8.15,7.37
002494,华斯股份,323.46,54486.52,3.18,4.72,4.72,4.87,5.03,4.7
000536,华映科技,311.75,1642718.49,9.84,2.54,2.49,2.79,2.79,2.48
002891,中宠股份,302.45,48863.26,7.08,22.32,22.56,23.9,24.28,22.11
000018,神城A退,302.08,193.0,-9.46,0.74,0.67,0.67,0.67,0.67
