cb_code,cb_name,stock_code,stock_name,pct_chg(%),pre_close_price,open_price,close_price,high,low,volume
123009,星源转债,300568,星源材质,2.75,109.0,109.019,112.0,112.556,109.019,15359.0
123021,万信转2,300168,万达信息,2.59,125.25,126.007,128.5,129.998,125.0,2543466.0
123032,万里转债,300591,万里马,2.07,100.225,100.8,102.301,102.721,100.8,865342.0
128079,英联转债,002846,英联股份,1.84,103.787,103.78,105.7,108.0,103.7,548966.0
128032,双环转债,002472,双环传动,1.73,95.45,95.45,97.098,97.2,95.392,200488.0
128054,中宠转债,002891,中宠股份,1.68,113.49,113.49,115.4,116.501,112.833,112711.0
113530,大丰转债,603081,大丰实业,1.62,109.25,109.5,111.02,111.2,108.8,172690.0
113520,百合转债,603313,梦百合,1.56,127.97,128.0,129.96,130.0,126.9,147790.0
123031,晶瑞转债,300655,晶瑞股份,1.49,125.29,125.641,127.16,131.58,125.641,525316.0
123027,蓝晓转债,300487,蓝晓科技,1.36,114.05,113.01,115.6,115.876,112.8,180306.0
113538,安图转债,603658,安图生物,1.31,148.87,149.62,150.82,151.5,148.0,508550.0
123022,长信转债,300088,长信科技,1.19,121.844,122.44,123.3,127.0,122.439,667816.0
113523,伟明转债,603568,伟明环保,1.14,125.8,129.0,127.23,129.0,125.0,44770.0
123017,寒锐转债,300618,寒锐钴业,1.13,123.6,123.701,125.0,129.39,123.01,350999.0
110056,亨通转债,600487,亨通光电,1.0,109.64,109.7,110.74,110.9,109.69,397020.0
113521,科森转债,603626,科森科技,1.0,104.55,104.9,105.6,105.6,104.6,19570.0
128041,盛路转债,002446,盛路通信,0.92,141.101,145.87,142.401,145.87,142.0,6998.0
113543,欧派转债,603833,欧派家居,0.88,118.28,118.28,119.32,119.4,118.28,117030.0
128072,翔鹭转债,002842,翔鹭钨业,0.76,104.701,104.701,105.5,105.51,104.55,5037.0
127011,中鼎转2,000887,中鼎股份,0.75,106.701,106.701,107.5,107.5,106.31,16381.0
